text_clean,text_preprocess
mosok presiden disuruh berdiri sendirian disitu,"['mosok', 'presiden', 'suruh', 'diri', 'situ']"
masih ketar ketir liat fufufafa dilantik a href,"['ketar', 'tir', 'liat', 'fufufafa', 'lantik', 'a', 'href']"
prabowo bener ngajarin apa itu proses dan keyakinan bulat dan yang paling penting sikap ikhlas dan terus berjuang,"['prabowo', 'bener', 'ngajarin', 'proses', 'yakin', 'bulat', 'sikap', 'ikhlas', 'juang']"
a href udah mirip negara konoha pak a hrefuckszuwhgymbdvujgyvgfylibpjchghkyycqbga,"['a', 'href', 'udah', 'negara', 'konoha', 'a', 'hrefuckszuwhgymbdvujgyvgfylibpjchghkyycqbga']"
a href kode keras bagi semua perusahaan yang masih memperkerjaakan karyawan diatas  tahun akan di kenakan sangsi yang masih memperkerjakan,"['a', 'href', 'kode', 'keras', 'usaha', 'memperkerjaakan', 'karyawan', 'atas', 'kena', 'sangsi', 'kerja']"
a href,"['a', 'href']"
mantap pak semoga tercapai,"['mantap', 'moga', 'capai']"
perjuangan pak prabowo sangatlah thebest ,"['juang', 'prabowo', 'thebest']"
,[]
kok gak ada perwakilan dari banteng merah,"['gak', 'wakil', 'banteng', 'merah']"
terharu pelantikan kali ini free palestine para wakil negara tetangga dan sahabat dan seluruh dunia tau komitmen indonesia tetap di jalan yang lurus membela hak asasi manusia seperti palestina dll bukan macam negara sebelah teriak teriak ham tapi menjadi salah satu kontributor terbesar dalam genosida,"['haru', 'lantik', 'kali', 'free', 'palestine', 'wakil', 'negara', 'tetangga', 'sahabat', 'dunia', 'tau', 'komitmen', 'indonesia', 'jalan', 'lurus', 'bela', 'hak', 'asasi', 'manusia', 'palestina', 'dll', 'negara', 'belah', 'teriak', 'teriak', 'ham', 'salah', 'kontributor', 'besar', 'genosida']"
pak presiden untuk mentrinya yg baru  hari melakukan pelanggaran tolong di catat di buku merahbrlakukan monitorin kinerjanyabrkalo ngga ada perubahanleletbanyak kesalahan di copot saja suruh duduk di rumah dari pada bikin susahbrpak seskab tolong di publis setiap kesalahan mentrinya biar kapok kerja di pemerintahan kalo ngga bisa kerja,"['presiden', 'tri', 'yg', 'langgar', 'tolong', 'catat', 'buku', 'merahbrlakukan', 'monitorin', 'kinerjanyabrkalo', 'ngga', 'perubahanleletbanyak', 'salah', 'copot', 'suruh', 'duduk', 'rumah', 'bikin', 'susahbrpak', 'seskab', 'tolong', 'publis', 'salah', 'tri', 'biar', 'kapok', 'kerja', 'perintah', 'kalo', 'ngga', 'kerja']"
pidato pertama langsung terpesonasekian banyak tamu dari negara sahabatdia tahu secara detail tanpa teks,"['pidato', 'langsung', 'terpesonasekian', 'tamu', 'negara', 'sahabatdia', 'detail', 'teks']"
sehat selalu ndan ,"['sehat', 'ndan']"
permintaang dari saya ke prabowo gaji tni dinaiki,"['permintaang', 'prabowo', 'gaji', 'tni', 'naik']"
dengerin pidato nya pak presiden rasanya ingin ikut berperang rasa patriotnya benerquot berasa semoga pak prabowo bisa membawa negara dan bangsa ini menjadi bangsa yg sejuk adem ayem sehat truss bapak,"['dengerin', 'pidato', 'nya', 'presiden', 'perang', 'patriot', 'benerquot', 'asa', 'moga', 'prabowo', 'bawa', 'negara', 'bangsa', 'bangsa', 'yg', 'sejuk', 'adem', 'ayem', 'sehat', 'truss']"
a href brciri khas sby yang saya sukabrsopannya menyapa yang lain,"['a', 'href', 'brciri', 'khas', 'sby', 'sukabrsopannya', 'sapa']"
bawa indonesia lebih adil makmur pak ,"['bawa', 'indonesia', 'adil', 'makmur']"
selamat pak,['selamat']
agak aneh dengan omongan ketua mpr ri astaga ngapain bicara soal rakyat palestin aneh sekali dari dulu heran liat pemerintahan negara ini negara sendiri belum beres pak gimana bisa bicara soal negara luar dan anehnya masalah di papua tidak mampu di atasi dari pemerintahan sebelum sebelumnya belum ada yg berhasil,"['aneh', 'omong', 'ketua', 'mpr', 'ri', 'astaga', 'ngapain', 'bicara', 'rakyat', 'palestin', 'aneh', 'heran', 'liat', 'perintah', 'negara', 'negara', 'beres', 'gimana', 'bicara', 'negara', 'aneh', 'papua', 'atas', 'perintah', 'yg', 'hasil']"
luar biasa bapak kuhafal nama lengkap tanpa textbranis ganjar mana bisa gitubrbraahpokoknya pak bowo menyalaa,"['hafal', 'nama', 'lengkap', 'textbranis', 'ganjar', 'gitubrbraahpokoknya', 'bowo', 'menyalaa']"
kasihan pak prabowobrbrmaf pak pesidenbrprogramnya baik bagusbrbrtp brtolong pak kawal dg ketat di bagian tingkat desa brrawan rawan rawan tdak adil tdak tepat brbanyak dikorupsi dipotong dllbrbrperketat pak pengawasan kadesbrhati pak dg para pengawas desa pendamping desabrpilih yg punya moran dan integritasbrbrkalao kepala desa jujur adilbrpendamping independen tegasbrmaka pengentasan kemiskinan bisa selesaibrpaling tdak berkurang,"['kasihan', 'prabowobrbrmaf', 'pesidenbrprogramnya', 'bagusbrbrtp', 'brtolong', 'kawal', 'dg', 'ketat', 'tingkat', 'desa', 'brrawan', 'rawan', 'rawan', 'tdak', 'adil', 'tdak', 'brbanyak', 'korupsi', 'potong', 'dllbrbrperketat', 'awas', 'kadesbrhati', 'dg', 'awas', 'desa', 'damping', 'desabrpilih', 'yg', 'moran', 'integritasbrbrkalao', 'kepala', 'desa', 'jujur', 'adilbrpendamping', 'independen', 'tegasbrmaka', 'entas', 'miskin', 'selesaibrpaling', 'tdak', 'kurang']"
free palestina,"['free', 'palestina']"
selamat bapak prabowo dan mas gibran,"['selamat', 'prabowo', 'mas', 'gibran']"
bapak prabowo bisa hafal semua tanpa teks apapun hebat,"['prabowo', 'hafal', 'teks', 'apa', 'hebat']"
ada bapak anwar ibrahim juga,"['anwar', 'ibrahim']"
a href wkwkwkw,"['a', 'href', 'wkwkwkw']"
